"uid","nightuid","namedLocation","domainID","siteID","plotID","collectDate","endDate","samplingProtocolVersion","remarks","dataQF"
"2a89a83d-fe59-4afa-9f87-c2c2db270046","4C6127A43FE4458DA42CAFB96F255022","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2014-06-26","2014-06-26",NA,"",NA
"40f33661-1bf9-42ac-ab5e-e7713dad52a0","C22BB382E67B4A0FB4F59D6F61B66D20","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2014-06-26","2014-06-26",NA,"",NA
"912a63bd-b8f3-4c78-a3e6-fd766cb1f08c","3CBB8793248045FC8B848E454434A169","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","2014-06-27","2014-06-27",NA,"No fecal or ear punches (not enough vials)",NA
"bf20eedc-5d9d-40e2-bbc6-fd564f86bd67","2AFDF8ED637B4A6DABEC315FC7C67802","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2014-06-27","2014-06-27",NA,"",NA
"6c4115f0-0e0a-4042-a2e2-02eee6a81377","0A64C7855ECD401AB046B7F6DE59F7E0","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2014-06-27","2014-06-27",NA,"short on vials, blood is priority",NA
"96e8d6c6-bb7c-42ee-995d-b7caefd8230b","4392D8DE04984AD5A51CC63BE6B09A98","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2014-06-27","2014-06-27",NA,"short on vials, blood is priority",NA
"0870ca4d-aeb7-456d-beb1-44e563ae8ebe","E9DC91CCD2F643F289DA6A29CE92900F","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2014-06-28","2014-06-28",NA,"Second entry for this plot on 6/29. Some data got missed from the first submission.",NA
"50233334-fcd1-4c8b-802f-e10adbf1d0ee","BCC1101B53DE449B91A8677C7F6D8B0D","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2014-06-28","2014-06-28",NA,"",NA
"cb19a39a-7f67-47f9-85eb-74de42955125","6CFAED0C0C32428E819D4060C11659E9","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2014-06-28","2014-06-28",NA,"",NA
"cea16d80-c1f6-4bbf-b2c7-b13458727fbd","0EAD2C5EB06F47BB88741147DCD684DE","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2014-06-29","2014-06-29",NA,"",NA
"ede74162-f4d4-4cfd-8d4d-e958143d6300","E663BD174BB34CD486358E6966DA929A","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2014-06-29","2014-06-29",NA,"",NA
"4ff6c222-f262-4390-95de-3f8cd42fd28e","76AC81307B7042F7B82628144DC35D99","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2014-06-30","2014-06-30",NA,"no fecal or ear punches taken",NA
"1f06bdf5-5327-4b51-8344-874da63c7bef","311925B5F9084A41883BD188FB50BDAA","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2014-06-30","2014-06-30",NA,"no fecal or ear punches taken",NA
"d6901b7d-62d0-4fda-84bc-4a4fa9bb3c74","E9595B9E5F67469DAFFAAC2D14572511","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2014-08-19","2014-08-19",NA,"",NA
"f70565e8-286b-4568-ac76-b643f43df33e","27F285E18C71457A932A00BC0FDCA854","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2014-08-19","2014-08-19",NA,"",NA
